ProvinceCode,MarriageYear,RegistrationYear,BridegroomAge,BrideAge,AgeDiff
Limpopo,1990,2018,29,17,Bridegroom older
Mpumalanga,2004,2018,46,30,Bridegroom older
Mpumalanga,2014,2018,41,31,Bridegroom older
Mpumalanga,2008,2018,35,24,Bridegroom older
Mpumalanga,2009,2018,30,27,Bridegroom older
North West,1998,2018,27,25,Bridegroom older
Limpopo,2010,2018,34,24,Bridegroom older
Limpopo,1998,2018,39,29,Bridegroom older
Limpopo,1998,2018,34,29,Bridegroom older
Free State,2000,2018,40,43,Bridegroom younger
Free State,2004,2018,37,31,Bridegroom older
Free State,1997,2018,24,19,Bridegroom older
Gauteng,2008,2018,36,34,Bridegroom older
Free State,2005,2018,50,25,Bridegroom older
Mpumalanga,2013,2018,45,39,Bridegroom older
Gauteng,2018,2018,32,30,Bridegroom older
Limpopo,1968,2018,44,28,Bridegroom older
Limpopo,1998,2018,40,28,Bridegroom older
Limpopo,2012,2018,44,29,Bridegroom older
Limpopo,2013,2018,51,45,Bridegroom older
KwaZulu-Natal,Unspecified,2018,Unspecified,Unspecified,Unspecified
Limpopo,2015,2018,50,45,Bridegroom older
Limpopo,2018,2018,33,27,Bridegroom older
Limpopo,2015,2018,27,25,Bridegroom older
Limpopo,2013,2018,31,28,Bridegroom older
Limpopo,2017,2018,39,23,Bridegroom older
Limpopo,1969,2018,35,21,Bridegroom older
Unknown,1977,2018,20,17,Bridegroom older
Mpumalanga,1990,2018,52,52,Spouses same age
Mpumalanga,2010,2018,55,53,Bridegroom older
Mpumalanga,2000,2018,37,33,Bridegroom older
Mpumalanga,2014,2018,48,39,Bridegroom older
Mpumalanga,2001,2018,32,31,Bridegroom older
Mpumalanga,2018,2018,32,28,Bridegroom older
Limpopo,1994,2018,35,25,Bridegroom older
Eastern Cape,2016,2018,50,24,Bridegroom older
Eastern Cape,2016,2018,36,25,Bridegroom older
Eastern Cape,2013,2018,31,21,Bridegroom older
Eastern Cape,1974,2018,34,25,Bridegroom older
Eastern Cape,1982,2018,39,35,Bridegroom older
Eastern Cape,1972,2018,28,19,Bridegroom older
Eastern Cape,1977,2018,28,17,Bridegroom older
Eastern Cape,1979,2018,29,19,Bridegroom older
Eastern Cape,1983,2018,27,15,Bridegroom older
Eastern Cape,1977,2018,20,17,Bridegroom older
Eastern Cape,1981,2018,24,20,Bridegroom older
Eastern Cape,1981,2018,23,17,Bridegroom older
Eastern Cape,1980,2018,22,20,Bridegroom older
Eastern Cape,1987,2018,27,21,Bridegroom older
Eastern Cape,1990,2018,29,22,Bridegroom older
Eastern Cape,1987,2018,23,16,Bridegroom older
Eastern Cape,1990,2018,24,21,Bridegroom older
Eastern Cape,2009,2018,42,23,Bridegroom older
Eastern Cape,1999,2018,29,21,Bridegroom older
Eastern Cape,1996,2018,25,25,Spouses same age
Eastern Cape,2012,2018,30,27,Bridegroom older
Eastern Cape,2012,2018,25,23,Bridegroom older
KwaZulu-Natal,1966,2018,27,23,Bridegroom older
Gauteng,2018,2018,36,36,Spouses same age
Gauteng,2007,2018,23,21,Bridegroom older
Mpumalanga,2015,2018,59,50,Bridegroom older
Mpumalanga,2014,2018,30,29,Bridegroom older
North West,2015,2018,46,36,Bridegroom older
Mpumalanga,1982,2018,26,16,Bridegroom older
Mpumalanga,2010,2018,23,20,Bridegroom older
Mpumalanga,1997,2018,35,25,Bridegroom older
Western Cape,2018,2018,72,66,Bridegroom older
KwaZulu-Natal,2016,2018,43,25,Bridegroom older
Eastern Cape,2013,2018,63,43,Bridegroom older
Eastern Cape,2018,2018,39,38,Bridegroom older
Eastern Cape,2016,2018,36,24,Bridegroom older
Eastern Cape,1977,2018,22,17,Bridegroom older
KwaZulu-Natal,2018,2018,34,28,Bridegroom older
North West,2018,2018,48,35,Bridegroom older
Unknown,2009,2018,38,38,Spouses same age
Limpopo,2015,2018,29,26,Bridegroom older
Limpopo,1976,2018,34,20,Bridegroom older
Gauteng,2011,2018,38,28,Bridegroom older
Limpopo,2011,2018,43,36,Bridegroom older
Eastern Cape,1987,2018,25,18,Bridegroom older
Mpumalanga,1992,2018,30,30,Spouses same age
Free State,2000,2018,24,24,Spouses same age
Eastern Cape,1972,2018,44,17,Bridegroom older
Eastern Cape,1964,2018,34,23,Bridegroom older
Eastern Cape,1969,2018,24,19,Bridegroom older
Eastern Cape,1984,2018,29,19,Bridegroom older
Eastern Cape,2014,2018,27,25,Bridegroom older
Mpumalanga,1979,2018,31,24,Bridegroom older
Unspecified,1984,2018,42,26,Bridegroom older
Eastern Cape,1953,2018,29,19,Bridegroom older
Mpumalanga,2015,2018,29,23,Bridegroom older
Mpumalanga,1984,2018,35,25,Bridegroom older
Mpumalanga,2015,2018,22,18,Bridegroom older
Mpumalanga,1995,2018,26,22,Bridegroom older
Limpopo,1992,2018,47,31,Bridegroom older
Limpopo,1981,2018,28,16,Bridegroom older
Limpopo,2003,2018,33,30,Bridegroom older
KwaZulu-Natal,2017,2018,38,38,Spouses same age
KwaZulu-Natal,1968,2018,21,17,Bridegroom older
KwaZulu-Natal,1974,2018,19,18,Bridegroom older
KwaZulu-Natal,2017,2018,53,36,Bridegroom older
Gauteng,1997,2018,41,33,Bridegroom older
Gauteng,2001,2018,46,43,Bridegroom older
Gauteng,2017,2018,58,34,Bridegroom older
Gauteng,2016,2018,55,53,Bridegroom older
Gauteng,2008,2018,41,52,Bridegroom younger
Gauteng,2008,2018,41,42,Bridegroom younger
Gauteng,2012,2018,42,38,Bridegroom older
Gauteng,2000,2018,29,27,Bridegroom older
Gauteng,2007,2018,36,34,Bridegroom older
Gauteng,2018,2018,47,40,Bridegroom older
Gauteng,2018,2018,36,34,Bridegroom older
Gauteng,2017,2018,33,28,Bridegroom older
Eastern Cape,2017,2018,38,31,Bridegroom older
Eastern Cape,2018,2018,25,24,Bridegroom older
North West,2006,2018,37,28,Bridegroom older
Mpumalanga,1981,2018,26,21,Bridegroom older
Mpumalanga,2006,2018,44,44,Spouses same age
Mpumalanga,2012,2018,32,47,Bridegroom younger
Unknown,1994,2018,31,23,Bridegroom older
KwaZulu-Natal,2015,2018,51,47,Bridegroom older
Limpopo,2012,2018,35,34,Bridegroom older
Limpopo,1990,2018,30,26,Bridegroom older
Limpopo,2009,2018,44,51,Bridegroom younger
Limpopo,2018,2018,33,27,Bridegroom older
KwaZulu-Natal,2018,2018,55,46,Bridegroom older
KwaZulu-Natal,2018,2018,38,39,Bridegroom younger
North West,1977,2018,28,23,Bridegroom older
Limpopo,1979,2018,39,41,Bridegroom younger
Gauteng,1969,2018,29,27,Bridegroom older
Free State,2002,2018,23,23,Spouses same age
Limpopo,2014,2018,63,44,Bridegroom older
Limpopo,1994,2018,37,22,Bridegroom older
Limpopo,2009,2018,49,33,Bridegroom older
Limpopo,2010,2018,44,43,Bridegroom older
Mpumalanga,1999,2018,42,36,Bridegroom older
Gauteng,1990,2018,34,31,Bridegroom older
Gauteng,2007,2018,41,25,Bridegroom older
Gauteng,2018,2018,32,32,Spouses same age
Mpumalanga,2017,2018,37,25,Bridegroom older
Limpopo,2012,2018,37,44,Bridegroom younger
North West,2015,2018,49,41,Bridegroom older
Limpopo,1978,2018,33,39,Bridegroom younger
Limpopo,1993,2018,42,39,Bridegroom older
Limpopo,1962,2018,34,22,Bridegroom older
Mpumalanga,1983,2018,25,20,Bridegroom older
North West,2003,2018,46,41,Bridegroom older
Limpopo,1995,2018,39,22,Bridegroom older
Limpopo,1985,2018,27,20,Bridegroom older
Limpopo,2009,2018,57,33,Bridegroom older
KwaZulu-Natal,1993,2018,61,32,Bridegroom older
KwaZulu-Natal,1980,2018,32,30,Bridegroom older
KwaZulu-Natal,1986,2018,38,33,Bridegroom older
KwaZulu-Natal,2017,2018,55,54,Bridegroom older
KwaZulu-Natal,2010,2018,43,37,Bridegroom older
KwaZulu-Natal,2012,2018,35,35,Spouses same age
Limpopo,2017,2018,33,37,Bridegroom younger
Limpopo,2007,2018,39,40,Bridegroom younger
Limpopo,2007,2018,66,57,Bridegroom older
Limpopo,2014,2018,58,35,Bridegroom older
Eastern Cape,1991,2018,24,18,Bridegroom older
KwaZulu-Natal,1994,2018,38,21,Bridegroom older
KwaZulu-Natal,1987,2018,29,24,Bridegroom older
Gauteng,2011,2018,63,52,Bridegroom older
Gauteng,1982,2018,20,25,Bridegroom younger
Gauteng,2015,2018,44,38,Bridegroom older
Gauteng,2018,2018,31,21,Bridegroom older
Gauteng,1979,2018,28,23,Bridegroom older
Gauteng,2000,2018,31,30,Bridegroom older
KwaZulu-Natal,2018,2018,29,28,Bridegroom older
Unknown,1960,2018,23,18,Bridegroom older
Mpumalanga,2016,2018,27,26,Bridegroom older
KwaZulu-Natal,1979,2018,34,29,Bridegroom older
KwaZulu-Natal,1971,2018,20,19,Bridegroom older
KwaZulu-Natal,1985,2018,30,27,Bridegroom older
KwaZulu-Natal,2014,2018,55,49,Bridegroom older
Mpumalanga,2013,2018,46,53,Bridegroom younger
KwaZulu-Natal,1978,2018,38,28,Bridegroom older
KwaZulu-Natal,1971,2018,48,42,Bridegroom older
KwaZulu-Natal,1964,2018,31,23,Bridegroom older
KwaZulu-Natal,1985,2018,39,34,Bridegroom older
KwaZulu-Natal,1977,2018,27,30,Bridegroom younger
KwaZulu-Natal,1978,2018,27,29,Bridegroom younger
KwaZulu-Natal,1992,2018,41,40,Bridegroom older
KwaZulu-Natal,1998,2018,43,38,Bridegroom older
KwaZulu-Natal,1995,2018,38,34,Bridegroom older
KwaZulu-Natal,1998,2018,36,36,Spouses same age
KwaZulu-Natal,2005,2018,43,42,Bridegroom older
KwaZulu-Natal,1995,2018,33,29,Bridegroom older
KwaZulu-Natal,1997,2018,34,34,Spouses same age
KwaZulu-Natal,2018,2018,39,38,Bridegroom older
Limpopo,1980,2018,35,23,Bridegroom older
Limpopo,2016,2018,53,43,Bridegroom older
Eastern Cape,1976,2018,42,14,Bridegroom older
Eastern Cape,1968,2018,18,29,Bridegroom younger
Eastern Cape,1988,2018,25,17,Bridegroom older
Eastern Cape,2010,2018,28,23,Bridegroom older
Eastern Cape,2009,2018,24,18,Bridegroom older
Limpopo,1952,2018,25,19,Bridegroom older
Mpumalanga,2013,2018,56,47,Bridegroom older
Limpopo,1987,2018,26,17,Bridegroom older
Limpopo,1990,2018,38,32,Bridegroom older
Limpopo,2016,2018,50,36,Bridegroom older
Limpopo,1976,2018,32,27,Bridegroom older
Limpopo,1993,2018,48,38,Bridegroom older
Limpopo,1964,2018,28,32,Bridegroom younger
Limpopo,1969,2018,33,18,Bridegroom older
Eastern Cape,2009,2018,51,41,Bridegroom older
Mpumalanga,1998,2018,29,18,Bridegroom older
Gauteng,1979,2018,22,20,Bridegroom older
KwaZulu-Natal,1992,2018,38,32,Bridegroom older
KwaZulu-Natal,1987,2018,30,27,Bridegroom older
KwaZulu-Natal,1992,2018,34,34,Spouses same age
KwaZulu-Natal,1992,2018,33,34,Bridegroom younger
KwaZulu-Natal,1986,2018,27,28,Bridegroom younger
Gauteng,2017,2018,47,46,Bridegroom older
Gauteng,2016,2018,36,26,Bridegroom older
Gauteng,2012,2018,43,32,Bridegroom older
Eastern Cape,2018,2018,67,66,Bridegroom older
Gauteng,1979,2018,32,19,Bridegroom older
Gauteng,2009,2018,39,35,Bridegroom older
Gauteng,2012,2018,24,23,Bridegroom older
Unknown,2017,2018,39,30,Bridegroom older
Gauteng,2018,2018,46,40,Bridegroom older
Outside RSA,1987,2018,29,27,Bridegroom older
Limpopo,2004,2018,36,27,Bridegroom older
Mpumalanga,2017,2018,48,28,Bridegroom older
Eastern Cape,1986,2018,23,18,Bridegroom older
Eastern Cape,1985,2018,38,28,Bridegroom older
KwaZulu-Natal,2018,2018,70,72,Bridegroom younger
Mpumalanga,1994,2018,41,30,Bridegroom older
Mpumalanga,2006,2018,41,25,Bridegroom older
Mpumalanga,2014,2018,36,32,Bridegroom older
KwaZulu-Natal,2018,2018,42,39,Bridegroom older
KwaZulu-Natal,2011,2018,49,42,Bridegroom older
KwaZulu-Natal,1978,2018,30,20,Bridegroom older
KwaZulu-Natal,1984,2018,31,20,Bridegroom older
KwaZulu-Natal,1994,2018,39,29,Bridegroom older
KwaZulu-Natal,1985,2018,27,27,Spouses same age
KwaZulu-Natal,2016,2018,57,54,Bridegroom older
KwaZulu-Natal,2018,2018,49,43,Bridegroom older
KwaZulu-Natal,2018,2018,47,38,Bridegroom older
KwaZulu-Natal,2018,2018,46,38,Bridegroom older
KwaZulu-Natal,1969,2018,30,38,Bridegroom younger
Unknown,2018,2018,48,64,Bridegroom younger
KwaZulu-Natal,1984,2018,37,34,Bridegroom older
KwaZulu-Natal,1976,2018,29,25,Bridegroom older
KwaZulu-Natal,1975,2018,26,26,Spouses same age
KwaZulu-Natal,1989,2018,36,32,Bridegroom older
KwaZulu-Natal,1985,2018,31,22,Bridegroom older
KwaZulu-Natal,1975,2018,21,17,Bridegroom older
KwaZulu-Natal,1989,2018,27,23,Bridegroom older
KwaZulu-Natal,1987,2018,25,23,Bridegroom older
KwaZulu-Natal,1985,2018,22,22,Spouses same age
Eastern Cape,2010,2018,36,26,Bridegroom older
Eastern Cape,2015,2018,35,39,Bridegroom younger
KwaZulu-Natal,1983,2018,24,20,Bridegroom older
KwaZulu-Natal,2017,2018,45,38,Bridegroom older
KwaZulu-Natal,2018,2018,39,21,Bridegroom older
Unknown,2018,2018,58,51,Bridegroom older
Mpumalanga,2015,2018,78,34,Bridegroom older
Mpumalanga,1983,2018,28,15,Bridegroom older
Mpumalanga,2016,2018,53,50,Bridegroom older
Mpumalanga,2015,2018,45,34,Bridegroom older
KwaZulu-Natal,1993,2018,38,34,Bridegroom older
KwaZulu-Natal,1985,2018,28,23,Bridegroom older
KwaZulu-Natal,2018,2018,81,64,Bridegroom older
KwaZulu-Natal,2018,2018,72,59,Bridegroom older
KwaZulu-Natal,2017,2018,67,63,Bridegroom older
KwaZulu-Natal,2018,2018,63,24,Bridegroom older
KwaZulu-Natal,2018,2018,63,54,Bridegroom older
KwaZulu-Natal,2017,2018,62,21,Bridegroom older
KwaZulu-Natal,2018,2018,61,57,Bridegroom older
KwaZulu-Natal,2018,2018,60,58,Bridegroom older
KwaZulu-Natal,2018,2018,60,61,Bridegroom younger
KwaZulu-Natal,2015,2018,56,36,Bridegroom older
KwaZulu-Natal,2018,2018,56,66,Bridegroom younger
KwaZulu-Natal,2015,2018,53,41,Bridegroom older
KwaZulu-Natal,2006,2018,44,41,Bridegroom older
KwaZulu-Natal,2018,2018,56,32,Bridegroom older
KwaZulu-Natal,2018,2018,54,34,Bridegroom older
KwaZulu-Natal,2018,2018,53,45,Bridegroom older
KwaZulu-Natal,2018,2018,53,30,Bridegroom older
KwaZulu-Natal,2018,2018,53,45,Bridegroom older
KwaZulu-Natal,2018,2018,52,51,Bridegroom older
KwaZulu-Natal,2018,2018,48,46,Bridegroom older
KwaZulu-Natal,2018,2018,48,45,Bridegroom older
KwaZulu-Natal,2018,2018,47,39,Bridegroom older
KwaZulu-Natal,2018,2018,47,37,Bridegroom older
KwaZulu-Natal,2018,2018,46,39,Bridegroom older
KwaZulu-Natal,2018,2018,45,48,Bridegroom younger
KwaZulu-Natal,2014,2018,41,24,Bridegroom older
KwaZulu-Natal,2018,2018,45,42,Bridegroom older
KwaZulu-Natal,2017,2018,44,34,Bridegroom older
KwaZulu-Natal,2017,2018,43,35,Bridegroom older
KwaZulu-Natal,2018,2018,44,41,Bridegroom older
KwaZulu-Natal,2018,2018,44,31,Bridegroom older
KwaZulu-Natal,2017,2018,43,40,Bridegroom older
KwaZulu-Natal,2013,2018,39,35,Bridegroom older
KwaZulu-Natal,2017,2018,43,34,Bridegroom older
KwaZulu-Natal,2015,2018,41,34,Bridegroom older
KwaZulu-Natal,2018,2018,43,42,Bridegroom older
KwaZulu-Natal,2017,2018,42,42,Spouses same age
KwaZulu-Natal,2018,2018,43,39,Bridegroom older
KwaZulu-Natal,2017,2018,42,26,Bridegroom older
KwaZulu-Natal,2018,2018,41,42,Bridegroom younger
KwaZulu-Natal,2018,2018,41,31,Bridegroom older
KwaZulu-Natal,2018,2018,41,33,Bridegroom older
KwaZulu-Natal,2017,2018,40,33,Bridegroom older
KwaZulu-Natal,2018,2018,41,34,Bridegroom older
KwaZulu-Natal,2018,2018,41,35,Bridegroom older
KwaZulu-Natal,2017,2018,39,31,Bridegroom older
KwaZulu-Natal,2018,2018,40,36,Bridegroom older
KwaZulu-Natal,2018,2018,40,35,Bridegroom older
KwaZulu-Natal,2018,2018,40,33,Bridegroom older
KwaZulu-Natal,2018,2018,40,30,Bridegroom older
KwaZulu-Natal,2018,2018,40,33,Bridegroom older
KwaZulu-Natal,2015,2018,36,32,Bridegroom older
KwaZulu-Natal,2017,2018,37,32,Bridegroom older
KwaZulu-Natal,2018,2018,38,24,Bridegroom older
KwaZulu-Natal,2017,2018,37,38,Bridegroom younger
KwaZulu-Natal,2018,2018,37,30,Bridegroom older
KwaZulu-Natal,2018,2018,37,22,Bridegroom older
KwaZulu-Natal,2018,2018,36,33,Bridegroom older
KwaZulu-Natal,2018,2018,36,36,Spouses same age
KwaZulu-Natal,2017,2018,35,31,Bridegroom older
KwaZulu-Natal,2017,2018,35,29,Bridegroom older
KwaZulu-Natal,2018,2018,36,33,Bridegroom older
KwaZulu-Natal,2018,2018,35,36,Bridegroom younger
KwaZulu-Natal,2018,2018,35,26,Bridegroom older
KwaZulu-Natal,2018,2018,35,29,Bridegroom older
KwaZulu-Natal,2017,2018,34,30,Bridegroom older
KwaZulu-Natal,2017,2018,34,33,Bridegroom older
KwaZulu-Natal,2016,2018,33,32,Bridegroom older
KwaZulu-Natal,2018,2018,35,34,Bridegroom older
KwaZulu-Natal,2017,2018,33,32,Bridegroom older
KwaZulu-Natal,2018,2018,34,35,Bridegroom younger
KwaZulu-Natal,2018,2018,33,23,Bridegroom older
KwaZulu-Natal,2017,2018,32,25,Bridegroom older
KwaZulu-Natal,2018,2018,33,31,Bridegroom older
KwaZulu-Natal,2018,2018,31,26,Bridegroom older
KwaZulu-Natal,2018,2018,31,29,Bridegroom older
KwaZulu-Natal,2018,2018,31,31,Spouses same age
KwaZulu-Natal,2018,2018,30,26,Bridegroom older
KwaZulu-Natal,2018,2018,30,26,Bridegroom older
KwaZulu-Natal,2018,2018,28,26,Bridegroom older
KwaZulu-Natal,2018,2018,28,23,Bridegroom older
KwaZulu-Natal,2018,2018,26,26,Spouses same age
KwaZulu-Natal,2018,2018,37,35,Bridegroom older
