ProvinceCode,RegistrationMonth,RegistrationYear,Spouse1Age,Spouse2Age,AgeDiff
KwaZulu-Natal,July,2018,40,54,Spouses-1 younger
KwaZulu-Natal,July,2018,36,32,Spouses-1 older
KwaZulu-Natal,July,2018,55,54,Spouses-1 older
KwaZulu-Natal,July,2018,41,27,Spouses-1 older
KwaZulu-Natal,July,2018,33,33,Spouses same age
KwaZulu-Natal,July,2018,30,29,Spouses-1 older
KwaZulu-Natal,August,2018,28,28,Spouses same age
KwaZulu-Natal,August,2018,38,31,Spouses-1 older
KwaZulu-Natal,August,2018,33,27,Spouses-1 older
KwaZulu-Natal,August,2018,32,28,Spouses-1 older
KwaZulu-Natal,August,2018,31,29,Spouses-1 older
KwaZulu-Natal,August,2018,32,26,Spouses-1 older
KwaZulu-Natal,August,2018,28,29,Spouses-1 younger
KwaZulu-Natal,August,2018,24,32,Spouses-1 younger
KwaZulu-Natal,August,2018,44,33,Spouses-1 older
KwaZulu-Natal,August,2018,39,39,Spouses same age
KwaZulu-Natal,August,2018,32,35,Spouses-1 younger
KwaZulu-Natal,August,2018,54,42,Spouses-1 older
KwaZulu-Natal,August,2018,41,27,Spouses-1 older
KwaZulu-Natal,September,2018,37,36,Spouses-1 older
KwaZulu-Natal,September,2018,40,39,Spouses-1 older
KwaZulu-Natal,September,2018,40,36,Spouses-1 older
KwaZulu-Natal,September,2018,41,40,Spouses-1 older
KwaZulu-Natal,September,2018,39,40,Spouses-1 younger
KwaZulu-Natal,September,2018,58,54,Spouses-1 older
KwaZulu-Natal,September,2018,27,28,Spouses-1 younger
KwaZulu-Natal,September,2018,26,29,Spouses-1 younger
KwaZulu-Natal,September,2018,39,35,Spouses-1 older
KwaZulu-Natal,September,2018,48,40,Spouses-1 older
KwaZulu-Natal,September,2018,26,58,Spouses-1 younger
KwaZulu-Natal,October,2018,41,40,Spouses-1 older
KwaZulu-Natal,October,2018,39,40,Spouses-1 younger
KwaZulu-Natal,October,2018,53,48,Spouses-1 older
KwaZulu-Natal,October,2018,30,28,Spouses-1 older
KwaZulu-Natal,October,2018,44,38,Spouses-1 older
KwaZulu-Natal,October,2018,33,29,Spouses-1 older
KwaZulu-Natal,October,2018,57,46,Spouses-1 older
KwaZulu-Natal,October,2018,26,31,Spouses-1 younger
KwaZulu-Natal,October,2018,28,28,Spouses same age
KwaZulu-Natal,October,2018,35,36,Spouses-1 younger
KwaZulu-Natal,October,2018,29,28,Spouses-1 older
KwaZulu-Natal,October,2018,24,23,Spouses-1 older
KwaZulu-Natal,October,2018,37,30,Spouses-1 older
KwaZulu-Natal,October,2018,34,29,Spouses-1 older
KwaZulu-Natal,October,2018,33,31,Spouses-1 older
KwaZulu-Natal,November,2018,45,50,Spouses-1 younger
KwaZulu-Natal,November,2018,32,25,Spouses-1 older
KwaZulu-Natal,November,2018,52,45,Spouses-1 older
KwaZulu-Natal,November,2018,45,35,Spouses-1 older
KwaZulu-Natal,November,2018,44,50,Spouses-1 younger
KwaZulu-Natal,November,2018,53,64,Spouses-1 younger
KwaZulu-Natal,November,2018,46,41,Spouses-1 older
KwaZulu-Natal,November,2018,29,24,Spouses-1 older
KwaZulu-Natal,December,2018,36,31,Spouses-1 older
KwaZulu-Natal,December,2018,34,32,Spouses-1 older
KwaZulu-Natal,December,2018,29,27,Spouses-1 older
KwaZulu-Natal,December,2018,26,27,Spouses-1 younger
KwaZulu-Natal,December,2018,72,67,Spouses-1 older
KwaZulu-Natal,December,2018,38,37,Spouses-1 older
KwaZulu-Natal,December,2018,44,42,Spouses-1 older
KwaZulu-Natal,December,2018,24,23,Spouses-1 older
Western Cape,March,2018,37,45,Spouses-1 younger
Eastern Cape,December,2018,25,23,Spouses-1 older
Western Cape,November,2018,41,32,Spouses-1 older
Western Cape,December,2018,33,37,Spouses-1 younger
Limpopo,May,2018,33,30,Spouses-1 older
Limpopo,October,2018,50,46,Spouses-1 older
Western Cape,January,2018,41,37,Spouses-1 older
Western Cape,February,2018,35,30,Spouses-1 older
Western Cape,March,2018,26,26,Spouses same age
Western Cape,April,2018,47,46,Spouses-1 older
Western Cape,April,2018,39,33,Spouses-1 older
Western Cape,May,2018,36,35,Spouses-1 older
Western Cape,June,2018,40,29,Spouses-1 older
Western Cape,June,2018,35,23,Spouses-1 older
Western Cape,July,2018,28,34,Spouses-1 younger
Western Cape,July,2018,26,26,Spouses same age
Western Cape,July,2018,23,21,Spouses-1 older
Western Cape,September,2018,23,22,Spouses-1 older
Gauteng,April,2018,24,29,Spouses-1 younger
Gauteng,April,2018,41,36,Spouses-1 older
Gauteng,June,2018,52,50,Spouses-1 older
Gauteng,July,2018,37,28,Spouses-1 older
Gauteng,July,2018,50,47,Spouses-1 older
Gauteng,August,2018,30,29,Spouses-1 older
Gauteng,September,2018,34,28,Spouses-1 older
Gauteng,November,2018,30,29,Spouses-1 older
Gauteng,November,2018,28,27,Spouses-1 older
KwaZulu-Natal,September,2018,47,38,Spouses-1 older
Free State,June,2018,27,42,Spouses-1 younger
Free State,July,2018,33,30,Spouses-1 older
Free State,August,2018,55,44,Spouses-1 older
Free State,August,2018,34,27,Spouses-1 older
Free State,September,2018,40,38,Spouses-1 older
Free State,November,2018,30,27,Spouses-1 older
Free State,December,2018,21,38,Spouses-1 younger
Western Cape,September,2018,53,49,Spouses-1 older
Free State,December,2018,31,18,Spouses-1 older
Free State,January,2018,38,30,Spouses-1 older
Free State,February,2018,30,25,Spouses-1 older
Free State,March,2018,35,41,Spouses-1 younger
Free State,March,2018,23,24,Spouses-1 younger
Free State,April,2018,28,24,Spouses-1 older
Free State,April,2018,29,34,Spouses-1 younger
Free State,April,2018,30,35,Spouses-1 younger
Free State,April,2018,32,32,Spouses same age
Free State,May,2018,43,40,Spouses-1 older
Free State,May,2018,37,25,Spouses-1 older
Free State,June,2018,44,30,Spouses-1 older
